txn_ref_id,sys_a_date,sys_a_amount_attribute_1,sys_a_amount_attribute_2,sys_b_amount,sys_b_fee,currency_type
44516715,02/04/24,20,1.4,Not Found-SysB,Not Found-SysB,INR
34286015,07/07/24,116.6999969,1.4,Not Found-SysB,Not Found-SysB,INR
90851690,07/05/24,50,1.4,Not Found-SysB,Not Found-SysB,INR
67286592,30/07/24,900,1.4,Not Found-SysB,Not Found-SysB,INR
15780875,14/08/24,1120,1.4,Not Found-SysB,Not Found-SysB,INR
88712053,02/08/24,101,1.4,Not Found-SysB,Not Found-SysB,INR
35877233,06/08/24,430,1.4,Not Found-SysB,Not Found-SysB,INR
62671578,07/08/24,1020,1.4,Not Found-SysB,Not Found-SysB,INR
50407375,07/08/24,150,1.4,Not Found-SysB,Not Found-SysB,INR
92497763,13/08/24,50.40000153,1.4,Not Found-SysB,Not Found-SysB,INR
85311511,13/08/24,65,1.4,Not Found-SysB,Not Found-SysB,INR
84045829,13/08/24,5,1.4,Not Found-SysB,Not Found-SysB,INR
27182625,13/08/24,15,1.4,Not Found-SysB,Not Found-SysB,INR
41460616,25/08/24,372,1.4,Not Found-SysB,Not Found-SysB,INR
69226073,25/08/24,100,1.4,Not Found-SysB,Not Found-SysB,INR
73484007,26/08/24,27,1.4,Not Found-SysB,Not Found-SysB,INR
67551234,26/08/24,3,1.4,Not Found-SysB,Not Found-SysB,INR
40138173,26/08/24,430,1.4,Not Found-SysB,Not Found-SysB,INR
70850839,06/09/24,70,1.4,Not Found-SysB,Not Found-SysB,INR
28352958,26/08/24,48,1.4,Not Found-SysB,Not Found-SysB,INR
29050472,26/08/24,1920,1.4,Not Found-SysB,Not Found-SysB,INR
75896254,26/08/24,24,1.4,Not Found-SysB,Not Found-SysB,INR
94744868,27/08/24,211,1.4,Not Found-SysB,Not Found-SysB,INR
39566472,26/08/24,2,1.4,Not Found-SysB,Not Found-SysB,INR
43994020,26/08/24,20,1.4,Not Found-SysB,Not Found-SysB,INR
74823105,25/08/24,370,1.4,Not Found-SysB,Not Found-SysB,INR
14854638,26/08/24,250,1.4,Not Found-SysB,Not Found-SysB,INR
78700075,26/08/24,64,1.4,Not Found-SysB,Not Found-SysB,INR
43520252,26/08/24,499,1.4,Not Found-SysB,Not Found-SysB,INR
28457757,26/08/24,4.199999809,1.4,Not Found-SysB,Not Found-SysB,INR
13739341,03/09/24,10500,3.5,Not Found-SysB,Not Found-SysB,INR
60548338,27/09/24,7000,3.5,Not Found-SysB,Not Found-SysB,INR
28291307,11/10/24,30,1.4,Not Found-SysB,Not Found-SysB,INR
43629865,05/04/24,90,1.4,Not Found-SysB,Not Found-SysB,INR
41686287,11/04/24,800,1.4,Not Found-SysB,Not Found-SysB,INR
78992025,03/05/24,102,1.4,Not Found-SysB,Not Found-SysB,INR
74514252,22/07/24,1000,1.4,Not Found-SysB,Not Found-SysB,INR
62447816,22/07/24,150,1.4,Not Found-SysB,Not Found-SysB,INR
94103714,25/07/24,2800,3.5,Not Found-SysB,Not Found-SysB,INR
81698225,09/08/24,300,1.4,Not Found-SysB,Not Found-SysB,INR
11499632,06/08/24,50,1.4,Not Found-SysB,Not Found-SysB,INR
40936510,06/08/24,130,1.4,Not Found-SysB,Not Found-SysB,INR
98335702,07/08/24,1800,1.4,Not Found-SysB,Not Found-SysB,INR
11502949,13/08/24,300,1.4,Not Found-SysB,Not Found-SysB,INR
64766578,13/08/24,1.399999976,1.4,Not Found-SysB,Not Found-SysB,INR
97773938,13/08/24,32,1.4,Not Found-SysB,Not Found-SysB,INR
91507618,16/08/24,20,1.4,Not Found-SysB,Not Found-SysB,INR
60827341,26/08/24,202,1.4,Not Found-SysB,Not Found-SysB,INR
82340925,26/08/24,29,1.4,Not Found-SysB,Not Found-SysB,INR
40583922,26/08/24,3111,3.5,Not Found-SysB,Not Found-SysB,INR
55882083,26/08/24,40,1.4,Not Found-SysB,Not Found-SysB,INR
76891609,26/08/24,168.8000031,1.4,Not Found-SysB,Not Found-SysB,INR
67263824,27/08/24,2,1.4,Not Found-SysB,Not Found-SysB,INR
43212586,27/08/24,144,1.4,Not Found-SysB,Not Found-SysB,INR
62098069,26/08/24,300,1.4,Not Found-SysB,Not Found-SysB,INR
13618725,26/08/24,6,1.4,Not Found-SysB,Not Found-SysB,INR
81768473,26/08/24,3,1.4,Not Found-SysB,Not Found-SysB,INR
96988196,26/08/24,15,1.4,Not Found-SysB,Not Found-SysB,INR
15364726,26/08/24,40,1.4,Not Found-SysB,Not Found-SysB,INR
65259380,26/08/24,351,1.4,Not Found-SysB,Not Found-SysB,INR
84972550,26/08/24,17,1.4,Not Found-SysB,Not Found-SysB,INR
71194233,25/08/24,127,1.4,Not Found-SysB,Not Found-SysB,INR
77234526,09/10/24,501,1.4,Not Found-SysB,Not Found-SysB,INR
33963035,08/10/24,21,1.4,Not Found-SysB,Not Found-SysB,INR
20349703,03/10/24,10400,3.5,Not Found-SysB,Not Found-SysB,INR
66937809,26/10/24,3126,3.5,Not Found-SysB,Not Found-SysB,INR
58637973,16/11/24,407,1.4,Not Found-SysB,Not Found-SysB,INR
73307871,12/11/24,127,1.4,Not Found-SysB,Not Found-SysB,INR
20197198,27/11/24,5500,3.5,Not Found-SysB,Not Found-SysB,INR
74727226,03/12/24,10,1.4,Not Found-SysB,Not Found-SysB,INR
97566778,16/11/24,1.399999976,1.4,Not Found-SysB,Not Found-SysB,INR
32616337,18/11/24,200,1.4,Not Found-SysB,Not Found-SysB,INR
36758479,18/11/24,3,1.4,Not Found-SysB,Not Found-SysB,INR
90014073,02/04/24,84.41000366,1.4,Not Found-SysB,Not Found-SysB,INR
73239761,17/04/24,40000,3.5,Not Found-SysB,Not Found-SysB,INR
78839426,10/07/24,7120,3.5,Not Found-SysB,Not Found-SysB,INR
53186640,30/04/24,68,1.4,Not Found-SysB,Not Found-SysB,INR
37331518,18/07/24,50,1.4,Not Found-SysB,Not Found-SysB,INR
67468527,23/07/24,1275,1.4,Not Found-SysB,Not Found-SysB,INR
42205539,09/08/24,350,1.4,Not Found-SysB,Not Found-SysB,INR
44316620,16/08/24,700,1.4,Not Found-SysB,Not Found-SysB,INR
40908049,06/08/24,1000,1.4,Not Found-SysB,Not Found-SysB,INR
43371350,05/08/24,7000,3.5,Not Found-SysB,Not Found-SysB,INR
32179801,07/08/24,25,1.4,Not Found-SysB,Not Found-SysB,INR
17771704,13/08/24,1700,1.4,Not Found-SysB,Not Found-SysB,INR
36051516,13/08/24,675,1.4,Not Found-SysB,Not Found-SysB,INR
74679886,13/08/24,20.29999924,1.4,Not Found-SysB,Not Found-SysB,INR
41919651,13/08/24,270,1.4,Not Found-SysB,Not Found-SysB,INR
70316575,25/08/24,15,1.4,Not Found-SysB,Not Found-SysB,INR
83413298,25/08/24,52,1.4,Not Found-SysB,Not Found-SysB,INR
49881751,26/08/24,10000,3.5,Not Found-SysB,Not Found-SysB,INR
44997447,26/08/24,180,1.4,Not Found-SysB,Not Found-SysB,INR
89968841,26/08/24,6083,3.5,Not Found-SysB,Not Found-SysB,INR
85884133,26/08/24,150,1.4,Not Found-SysB,Not Found-SysB,INR
60104471,26/08/24,100,1.4,Not Found-SysB,Not Found-SysB,INR
13227660,26/08/24,4000,3.5,Not Found-SysB,Not Found-SysB,INR
88813193,26/08/24,7384,3.5,Not Found-SysB,Not Found-SysB,INR
11570297,26/08/24,350,1.4,Not Found-SysB,Not Found-SysB,INR
